Latitude,Longitude,TMean (°C)
50.32,-74.6,1.498
50.32,-74.6,1.425
50.32,-74.6,1.148
50.32,-74.6,1.11
50.32,-74.6,1.187
50.32,-74.6,1.467
50.32,-74.6,1.1
50.32,-74.6,1.168
50.32,-74.6,1.393
50.32,-74.6,1.566
50.32,-74.6,1.443
50.32,-74.6,1.415
50.32,-74.6,1.194
50.31,-74.6,1.48
50.31,-74.6,1.582
50.31,-74.6,1.57
50.31,-74.6,1.333
50.31,-74.6,1.059
50.31,-74.6,1.225
50.31,-74.6,1.064
50.31,-74.6,1.175
50.31,-74.6,1.445
50.31,-74.6,1.488
50.31,-74.6,1.314
50.31,-74.6,1.215
50.31,-74.6,1.597
50.31,-74.6,1.267
50.31,-74.6,1.451
50.31,-74.6,1.409
50.31,-74.6,1.449
50.31,-74.6,1.492
50.31,-74.6,1.42
50.31,-74.6,1.142
50.31,-74.6,1.104
50.31,-74.6,1.181
50.31,-74.6,1.462
50.31,-74.6,1.095
50.31,-74.6,1.162
50.31,-74.6,1.387
50.31,-74.6,1.561
50.31,-74.6,1.438
50.31,-74.6,1.41
50.31,-74.6,1.189
50.31,-74.61,1.547
50.31,-74.61,1.648
50.31,-74.61,1.636
50.31,-74.61,1.399
50.31,-74.61,1.125
50.31,-74.61,1.291
50.31,-74.61,1.13
50.31,-74.61,1.241
50.31,-74.61,1.512
50.31,-74.61,1.555
50.31,-74.61,1.38
50.31,-74.61,1.281
50.31,-74.61,1.663
50.31,-74.61,1.333
50.31,-74.61,1.518
50.31,-74.61,1.475
50.31,-74.61,1.516
50.31,-74.61,1.558
50.31,-74.61,1.486
50.31,-74.61,1.208
50.31,-74.61,1.17
50.31,-74.61,1.247
50.31,-74.61,1.528
50.31,-74.61,1.161
50.31,-74.61,1.228
50.31,-74.61,1.453
50.31,-74.61,1.627
50.31,-74.61,1.504
50.31,-74.61,1.476
50.31,-74.61,1.255
50.36,-74.46,1.497
50.36,-74.46,1.599
50.36,-74.46,1.586
50.36,-74.46,1.351
50.36,-74.46,1.078
50.36,-74.46,1.241
50.36,-74.46,1.082
50.36,-74.46,1.193
50.36,-74.46,1.462
50.36,-74.46,1.504
50.36,-74.46,1.329
50.36,-74.46,1.233
50.36,-74.46,1.612
50.36,-74.46,1.285
50.36,-74.46,1.468
50.36,-74.46,1.426
50.36,-74.46,1.465
50.36,-74.46,1.51
50.36,-74.46,1.436
50.36,-74.46,1.161
50.36,-74.46,1.123
50.36,-74.46,1.199
50.36,-74.46,1.478
50.36,-74.46,1.113
50.36,-74.46,1.18
50.36,-74.46,1.404
50.36,-74.46,1.576
50.36,-74.46,1.454
50.36,-74.46,1.427
50.36,-74.46,1.207
50.36,-74.46,1.482
50.36,-74.46,1.584
50.36,-74.46,1.571
50.36,-74.46,1.336
50.36,-74.46,1.063
50.36,-74.46,1.226
50.36,-74.46,1.067
50.36,-74.46,1.178
50.36,-74.46,1.447
50.36,-74.46,1.488
50.36,-74.46,1.314
50.36,-74.46,1.218
50.36,-74.46,1.597
50.36,-74.46,1.27
50.36,-74.46,1.453
50.36,-74.46,1.411
50.36,-74.46,1.45
50.36,-74.46,1.494
50.36,-74.46,1.42
50.36,-74.46,1.146
50.36,-74.46,1.108
50.36,-74.46,1.184
50.36,-74.46,1.462
50.36,-74.46,1.098
50.36,-74.46,1.165
50.36,-74.46,1.389
50.36,-74.46,1.561
50.36,-74.46,1.438
50.36,-74.46,1.412
50.36,-74.46,1.192
50.36,-74.46,1.466
50.36,-74.46,1.569
50.36,-74.46,1.556
50.36,-74.46,1.321
50.36,-74.46,1.048
50.36,-74.46,1.211
50.36,-74.46,1.052
50.36,-74.46,1.163
50.36,-74.46,1.432
50.36,-74.46,1.473
50.36,-74.46,1.299
50.36,-74.46,1.203
50.36,-74.46,1.582
50.36,-74.46,1.255
50.36,-74.46,1.438
50.36,-74.46,1.396
50.36,-74.46,1.435
50.36,-74.46,1.479
50.36,-74.46,1.405
50.36,-74.46,1.131
50.36,-74.46,1.093
50.36,-74.46,1.169
50.36,-74.46,1.447
50.36,-74.46,1.083
50.36,-74.46,1.15
50.36,-74.46,1.374
50.36,-74.46,1.546
50.36,-74.46,1.423
50.36,-74.46,1.397
50.36,-74.46,1.177
50.35,-74.46,1.432
50.35,-74.46,1.535
50.35,-74.46,1.522
50.35,-74.46,1.287
50.35,-74.46,1.014
50.35,-74.46,1.177
50.35,-74.46,1.018
50.35,-74.46,1.129
50.35,-74.46,1.398
50.35,-74.46,1.439
50.35,-74.46,1.265
50.35,-74.46,1.169
50.35,-74.46,1.548
50.35,-74.46,1.221
50.35,-74.46,1.404
50.35,-74.46,1.362
50.35,-74.46,1.401
50.35,-74.46,1.445
50.35,-74.46,1.371
50.35,-74.46,1.096
50.35,-74.46,1.059
50.35,-74.46,1.135
50.35,-74.46,1.413
50.35,-74.46,1.048
50.35,-74.46,1.115
50.35,-74.46,1.34
50.35,-74.46,1.512
50.35,-74.46,1.389
50.35,-74.46,1.363
50.35,-74.46,1.143
50.35,-74.46,1.417
50.35,-74.46,1.519
50.35,-74.46,1.507
50.35,-74.46,1.271
50.35,-74.46,0.999
50.35,-74.46,1.162
50.35,-74.46,1.002
50.35,-74.46,1.114
50.35,-74.46,1.383
50.35,-74.46,1.424
50.35,-74.46,1.25
50.35,-74.46,1.153
50.35,-74.46,1.533
50.35,-74.46,1.206
50.35,-74.46,1.389
50.35,-74.46,1.347
50.35,-74.46,1.386
50.35,-74.46,1.43
50.35,-74.46,1.356
50.35,-74.46,1.081
50.35,-74.46,1.044
50.35,-74.46,1.12
50.35,-74.46,1.398
50.35,-74.46,1.033
50.35,-74.46,1.1
50.35,-74.46,1.325
50.35,-74.46,1.497
50.35,-74.46,1.374
50.35,-74.46,1.347
50.35,-74.46,1.128
50.24,-75.33,1.782
50.24,-75.33,1.889
50.24,-75.33,1.872
50.24,-75.33,1.648
50.24,-75.33,1.378
50.24,-75.33,1.532
50.24,-75.33,1.371
50.24,-75.33,1.489
50.24,-75.33,1.76
50.24,-75.33,1.792
50.24,-75.33,1.624
50.24,-75.33,1.523
50.24,-75.33,1.91
50.24,-75.33,1.582
50.24,-75.33,1.761
50.24,-75.33,1.743
50.24,-75.33,1.755
50.24,-75.33,1.797
50.24,-75.33,1.726
50.24,-75.33,1.454
50.24,-75.33,1.425
50.24,-75.33,1.487
50.24,-75.33,1.772
50.24,-75.33,1.403
50.24,-75.33,1.469
50.24,-75.33,1.702
50.24,-75.33,1.86
50.24,-75.33,1.744
50.24,-75.33,1.724
50.24,-75.33,1.519
50.23,-75.33,1.791
50.23,-75.33,1.898
50.23,-75.33,1.882
50.23,-75.33,1.658
50.23,-75.33,1.388
50.23,-75.33,1.541
50.23,-75.33,1.381
50.23,-75.33,1.499
50.23,-75.33,1.77
50.23,-75.33,1.802
50.23,-75.33,1.634
50.23,-75.33,1.533
50.23,-75.33,1.92
50.23,-75.33,1.592
50.23,-75.33,1.771
50.23,-75.33,1.753
50.23,-75.33,1.765
50.23,-75.33,1.807
50.23,-75.33,1.736
50.23,-75.33,1.464
50.23,-75.33,1.435
50.23,-75.33,1.497
50.23,-75.33,1.782
50.23,-75.33,1.413
50.23,-75.33,1.479
50.23,-75.33,1.712
50.23,-75.33,1.869
50.23,-75.33,1.754
50.23,-75.33,1.734
50.23,-75.33,1.528
50.23,-75.33,1.791
50.23,-75.33,1.898
50.23,-75.33,1.882
50.23,-75.33,1.658
50.23,-75.33,1.388
50.23,-75.33,1.541
50.23,-75.33,1.381
50.23,-75.33,1.499
50.23,-75.33,1.77
50.23,-75.33,1.802
50.23,-75.33,1.634
50.23,-75.33,1.533
50.23,-75.33,1.92
50.23,-75.33,1.592
50.23,-75.33,1.771
50.23,-75.33,1.753
50.23,-75.33,1.765
50.23,-75.33,1.807
50.23,-75.33,1.736
50.23,-75.33,1.464
50.23,-75.33,1.435
50.23,-75.33,1.497
50.23,-75.33,1.782
50.23,-75.33,1.413
50.23,-75.33,1.479
50.23,-75.33,1.712
50.23,-75.33,1.869
50.23,-75.33,1.754
50.23,-75.33,1.734
50.23,-75.33,1.528
50.23,-75.33,1.774
50.23,-75.33,1.881
50.23,-75.33,1.865
50.23,-75.33,1.64
50.23,-75.33,1.371
50.23,-75.33,1.524
50.23,-75.33,1.364
50.23,-75.33,1.482
50.23,-75.33,1.752
50.23,-75.33,1.785
50.23,-75.33,1.617
50.23,-75.33,1.516
50.23,-75.33,1.903
50.23,-75.33,1.574
50.23,-75.33,1.754
50.23,-75.33,1.736
50.23,-75.33,1.747
50.23,-75.33,1.79
50.23,-75.33,1.719
50.23,-75.33,1.447
50.23,-75.33,1.418
50.23,-75.33,1.48
50.23,-75.33,1.765
50.23,-75.33,1.396
50.23,-75.33,1.462
50.23,-75.33,1.695
50.23,-75.33,1.852
50.23,-75.33,1.737
50.23,-75.33,1.717
50.23,-75.33,1.511
50.17,-75.35,1.829
50.17,-75.35,1.936
50.17,-75.35,1.919
50.17,-75.35,1.695
50.17,-75.35,1.425
50.17,-75.35,1.579
50.17,-75.35,1.418
50.17,-75.35,1.536
50.17,-75.35,1.807
50.17,-75.35,1.84
50.17,-75.35,1.672
50.17,-75.35,1.57
50.17,-75.35,1.957
50.17,-75.35,1.629
50.17,-75.35,1.808
50.17,-75.35,1.791
50.17,-75.35,1.802
50.17,-75.35,1.844
50.17,-75.35,1.774
50.17,-75.35,1.501
50.17,-75.35,1.472
50.17,-75.35,1.534
50.17,-75.35,1.82
50.17,-75.35,1.45
50.17,-75.35,1.516
50.17,-75.35,1.749
50.17,-75.35,1.907
50.17,-75.35,1.791
50.17,-75.35,1.772
50.17,-75.35,1.566
50.17,-75.34,1.779
50.17,-75.34,1.886
50.17,-75.34,1.869
50.17,-75.34,1.645
50.17,-75.34,1.376
50.17,-75.34,1.529
50.17,-75.34,1.369
50.17,-75.34,1.486
50.17,-75.34,1.757
50.17,-75.34,1.79
50.17,-75.34,1.622
50.17,-75.34,1.52
50.17,-75.34,1.908
50.17,-75.34,1.579
50.17,-75.34,1.758
50.17,-75.34,1.741
50.17,-75.34,1.753
50.17,-75.34,1.794
50.17,-75.34,1.724
50.17,-75.34,1.451
50.17,-75.34,1.423
50.17,-75.34,1.485
50.17,-75.34,1.77
50.17,-75.34,1.401
50.17,-75.34,1.466
50.17,-75.34,1.699
50.17,-75.34,1.857
50.17,-75.34,1.742
50.17,-75.34,1.722
50.17,-75.34,1.516
50.17,-75.14,1.834
50.17,-75.14,1.941
50.17,-75.14,1.924
50.17,-75.14,1.701
50.17,-75.14,1.431
50.17,-75.14,1.584
50.17,-75.14,1.424
50.17,-75.14,1.542
50.17,-75.14,1.813
50.17,-75.14,1.845
50.17,-75.14,1.677
50.17,-75.14,1.576
50.17,-75.14,1.963
50.17,-75.14,1.635
50.17,-75.14,1.813
50.17,-75.14,1.797
50.17,-75.14,1.808
50.17,-75.14,1.85
50.17,-75.14,1.779
50.17,-75.14,1.507
50.17,-75.14,1.478
50.17,-75.14,1.541
50.17,-75.14,1.825
50.17,-75.14,1.457
50.17,-75.14,1.522
50.17,-75.14,1.754
50.17,-75.14,1.912
50.17,-75.14,1.796
50.17,-75.14,1.777
50.17,-75.14,1.571
50.18,-74.99,1.846
50.18,-74.99,1.954
50.18,-74.99,1.937
50.18,-74.99,1.714
50.18,-74.99,1.444
50.18,-74.99,1.597
50.18,-74.99,1.437
50.18,-74.99,1.556
50.18,-74.99,1.826
50.18,-74.99,1.858
50.18,-74.99,1.69
50.18,-74.99,1.589
50.18,-74.99,1.976
50.18,-74.99,1.648
50.18,-74.99,1.826
50.18,-74.99,1.81
50.18,-74.99,1.821
50.18,-74.99,1.863
50.18,-74.99,1.792
50.18,-74.99,1.519
50.18,-74.99,1.491
50.18,-74.99,1.553
50.18,-74.99,1.837
50.18,-74.99,1.469
50.18,-74.99,1.534
50.18,-74.99,1.767
50.18,-74.99,1.925
50.18,-74.99,1.809
50.18,-74.99,1.79
50.18,-74.99,1.584
50.13,-74.95,1.899
50.13,-74.95,2.007
50.13,-74.95,1.99
50.13,-74.95,1.766
50.13,-74.95,1.496
50.13,-74.95,1.65
50.13,-74.95,1.49
50.13,-74.95,1.608
50.13,-74.95,1.879
50.13,-74.95,1.911
50.13,-74.95,1.743
50.13,-74.95,1.641
50.13,-74.95,2.029
50.13,-74.95,1.7
50.13,-74.95,1.879
50.13,-74.95,1.863
50.13,-74.95,1.874
50.13,-74.95,1.915
50.13,-74.95,1.845
50.13,-74.95,1.572
50.13,-74.95,1.544
50.13,-74.95,1.606
50.13,-74.95,1.891
50.13,-74.95,1.522
50.13,-74.95,1.587
50.13,-74.95,1.819
50.13,-74.95,1.978
50.13,-74.95,1.862
50.13,-74.95,1.842
50.13,-74.95,1.636
50.14,-74.96,1.935
50.14,-74.96,2.043
50.14,-74.96,2.026
50.14,-74.96,1.803
50.14,-74.96,1.533
50.14,-74.96,1.687
50.14,-74.96,1.527
50.14,-74.96,1.645
50.14,-74.96,1.916
50.14,-74.96,1.948
50.14,-74.96,1.779
50.14,-74.96,1.678
50.14,-74.96,2.065
50.14,-74.96,1.737
50.14,-74.96,1.915
50.14,-74.96,1.899
50.14,-74.96,1.911
50.14,-74.96,1.952
50.14,-74.96,1.881
50.14,-74.96,1.608
50.14,-74.96,1.58
50.14,-74.96,1.643
50.14,-74.96,1.927
50.14,-74.96,1.559
50.14,-74.96,1.624
50.14,-74.96,1.856
50.14,-74.96,2.015
50.14,-74.96,1.898
50.14,-74.96,1.879
50.14,-74.96,1.673
50.14,-74.83,1.824
50.14,-74.83,1.932
50.14,-74.83,1.915
50.14,-74.83,1.691
50.14,-74.83,1.422
50.14,-74.83,1.575
50.14,-74.83,1.415
50.14,-74.83,1.534
50.14,-74.83,1.804
50.14,-74.83,1.836
50.14,-74.83,1.668
50.14,-74.83,1.566
50.14,-74.83,1.954
50.14,-74.83,1.625
50.14,-74.83,1.803
50.14,-74.83,1.788
50.14,-74.83,1.799
50.14,-74.83,1.84
50.14,-74.83,1.769
50.14,-74.83,1.497
50.14,-74.83,1.469
50.14,-74.83,1.531
50.14,-74.83,1.816
50.14,-74.83,1.447
50.14,-74.83,1.512
50.14,-74.83,1.744
50.14,-74.83,1.903
50.14,-74.83,1.787
50.14,-74.83,1.767
50.14,-74.83,1.561
50.12,-74.55,1.752
50.12,-74.55,1.854
50.12,-74.55,1.843
50.12,-74.55,1.605
50.12,-74.55,1.33
50.12,-74.55,1.498
50.12,-74.55,1.337
50.12,-74.55,1.448
50.12,-74.55,1.718
50.12,-74.55,1.762
50.12,-74.55,1.588
50.12,-74.55,1.487
50.12,-74.55,1.872
50.12,-74.55,1.538
50.12,-74.55,1.724
50.12,-74.55,1.683
50.12,-74.55,1.723
50.12,-74.55,1.763
50.12,-74.55,1.692
50.12,-74.55,1.413
50.12,-74.55,1.376
50.12,-74.55,1.453
50.12,-74.55,1.737
50.12,-74.55,1.366
50.12,-74.55,1.434
50.12,-74.55,1.659
50.12,-74.55,1.835
50.12,-74.55,1.712
50.12,-74.55,1.682
50.12,-74.55,1.46
50.12,-74.55,1.723
50.12,-74.55,1.824
50.12,-74.55,1.813
50.12,-74.55,1.576
50.12,-74.55,1.3
50.12,-74.55,1.469
50.12,-74.55,1.308
50.12,-74.55,1.418
50.12,-74.55,1.688
50.12,-74.55,1.733
50.12,-74.55,1.558
50.12,-74.55,1.458
50.12,-74.55,1.842
50.12,-74.55,1.508
50.12,-74.55,1.694
50.12,-74.55,1.653
50.12,-74.55,1.693
50.12,-74.55,1.733
50.12,-74.55,1.663
50.12,-74.55,1.383
50.12,-74.55,1.346
50.12,-74.55,1.423
50.12,-74.55,1.707
50.12,-74.55,1.337
50.12,-74.55,1.404
50.12,-74.55,1.629
50.12,-74.55,1.805
50.12,-74.55,1.682
50.12,-74.55,1.652
50.12,-74.55,1.431
50.13,-74.55,1.644
50.13,-74.55,1.746
